{\rtf1\ansi\ansicpg1252\cocoartf2759
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fswiss\fcharset0 Helvetica;}
{\colortbl;\red255\green255\blue255;}
{\*\expandedcolortbl;;}
\margl1440\margr1440\vieww11520\viewh8400\viewkind0
\pard\tx566\tx1133\tx1700\tx2267\tx2834\tx3401\tx3968\tx4535\tx5102\tx5669\tx6236\tx6803\pardirnatural\partightenfactor0

\f0\fs24 \cf0 venue,title,authors,abstract,year,link,doi,pages,rank,peer_reviewed,area,gpt_confidence,gpt_note,file,original,type,publisher,acronym\
AAAI Conference on Artificial Intelligence,\'93Reverse Gerrymandering\'94: Manipulation in Multi-Group Decision Making,Omer Lev;Yoad Lewenberg,"District-based manipulation, or gerrymandering, is usually taken to refer to agents who are in fixed location, and an external division is imposed upon them. However, in many real-world setting, there is an external, fixed division \'96 an organizational chart of a company, or markets for a particular product. In these cases, agents may wish to move around( \'93reverse gerrymandering\'94) , as each of them tries to maximize their influence across the company\'92s subunits, or resources are \'93working\'94 to be allocated to areas where they will be most needed. In this paper we explore an iterative dynamic in this setting, finding that allowing this decentralized system results, in some particular cases, in a stable equilibrium, though in general, the setting may end up in a cycle. We further examine how this decentralized process affects the social welfare of the system.",2019,https://ojs.aaai.org/index.php/AAAI/article/view/4037,10.1609/aaai.v33i01.33012069,8,top-tier,yes,artificial intelligence,0.9,"The AAAI Conference on Artificial Intelligence is a leading conference in AI. It is known for its rigorous peer review process and significant impact within the research community, helping to establish it as a top-tier venue.",aaai_venues.csv,Proceedings of the AAAI Conference on Artificial Intelligence,AAAI Technical Track: Game Theory and Economic Paradigms,AAAI,NA\
AAAI Conference on Artificial Intelligence,3D-STMN: Dependency-Driven Superpoint-Text Matching Network for End-to-End 3D Referring Expression Segmentation,Changli Wu;Yiwei Ma;Qi Chen;Haowei Wang;Gen Luo;Jiayi Ji;Xiaoshuai Sun,"In 3D Referring Expression Segmentation( 3D-RES) , the earlier approach adopts a two-stage paradigm, extracting segmentation proposals and then matching them with referring expressions. However, this conventional paradigm encounters significant challenges, most notably in terms of the generation of lackluster initial proposals and a pronounced deceleration in inference speed. Recognizing these limitations, we introduce an innovative end-to-end Superpoint-Text Matching Network( 3D-STMN) that is enriched by dependency-driven insights. One of the keystones of our model is the Superpoint-Text Matching( STM) mechanism. Unlike traditional methods that navigate through instance proposals, STM directly correlates linguistic indications with their respective superpoints, clusters of semantically related points. This architectural decision empowers our model to efficiently harness cross-modal semantic relationships, primarily leveraging densely annotated superpoint-text pairs, as opposed to the more sparse instance-text pairs. In pursuit of enhancing the role of text in guiding the segmentation process, we further incorporate the Dependency-Driven Interaction( DDI) module to deepen the networks semantic comprehension of referring expressions. Using the dependency trees as a beacon, this module discerns the intricate relationships between primary terms and their associated descriptors in expressions, thereby elevating both the localization and segmentation capacities. Comprehensive experiments on the ScanRefer benchmark reveal that our model not only sets new performance standards, registering an mIoU gain of 11. 7 points but also achieves a staggering enhancement in inference speed, surpassing traditional methods by 95. 7 times. The code and models are available at https://github. com/sosppxo/3D-STMN.",2024,https://ojs.aaai.org/index.php/AAAI/article/view/28408,10.1609/aaai.v38i6.28408,9,top-tier,yes,artificial intelligence,0.9,"The AAAI Conference on Artificial Intelligence is a leading conference in AI. It is known for its rigorous peer review process and significant impact within the research community, helping to establish it as a top-tier venue.",aaai_venues.csv,Proceedings of the AAAI Conference on Artificial Intelligence,AAAI Technical Track on Computer Vision V,AAAI,NA\
AAAI Conference on Artificial Intelligence,A Bayesian Spatial Model to Correct Under-Reporting in Urban Crowdsourcing,Gabriel Agostini;Emma Pierson;Nikhil Garg,"Decision-makers often observe the occurrence of events through a reporting process. City governments, for example, rely on resident reports to find and then resolve urban infrastructural problems such as fallen street trees, flooded basements, or rat infestations. Without additional assumptions, there is no way to distinguish events that occur but are not reported from events that truly did not occur--a fundamental problem in settings with positive-unlabeled data. Because disparities in reporting rates correlate with resident demographics, addressing incidents only on the basis of reports leads to systematic neglect in neighborhoods that are less likely to report events. We show how to overcome this challenge by leveraging the fact that events are spatially correlated. Our framework uses a Bayesian spatial latent variable model to infer event occurrence probabilities and applies it to storm-induced flooding reports in New York City, further pooling results across multiple storms. We show that a model accounting for under-reporting and spatial correlation predicts future reports more accurately than other models, and further induces a more equitable set of inspections: its allocations better reflect the population and provide equitable service to non-white, less traditionally educated, and lower-income residents. This finding reflects heterogeneous reporting behavior learned by the model: reporting rates are higher in Census tracts with higher populations, proportions of white residents, and proportions of owner-occupied households. Our work lays the groundwork for more equitable proactive government services, even with disparate reporting behavior.",2024,https://ojs.aaai.org/index.php/AAAI/article/view/30190,10.1609/aaai.v38i20.30190,9,top-tier,yes,artificial intelligence,0.9,"The AAAI Conference on Artificial Intelligence is a leading conference in AI. It is known for its rigorous peer review process and significant impact within the research community, helping to establish it as a top-tier venue.",aaai_venues.csv,Proceedings of the AAAI Conference on Artificial Intelligence,AAAI Technical Track on AI for Social Impact Track,AAAI,NA\
AAAI Conference on Artificial Intelligence,A BTP-Based Family of Variable Elimination Rules for Binary CSPs,Achref El Mouelhi,"The study of broken-triangles is becoming increasingly ambitious, by both solving constraint satisfaction problems( CSPs) in polynomial time and reducing search space size through value merging or variable elimination. Considerable progress has been made in extending this important concept, such as dual broken-triangle and weakly broken-triangle, in order to maximize the number of captured tractable CSP instances and/or the number of merged values. Specifically, m-wBTP allows to merge more values than BTP. k-BTP, WBTP and m-BTP permit to capture more tractable instances than BTP. Here, we introduce a new weaker form of BTP, which will be called m-fBTP for flexible broken-triangle property. m-fBTP allows on the one hand to eliminate more variables than BTP while preserving satisfiability and on the other to define new bigger tractable class for which arc consistency is a decision procedure. Likewise, m-fBTP permits to merge more values than BTP but less than m-wBTP.",2017,https://ojs.aaai.org/index.php/AAAI/article/view/11126,10.1609/aaai.v31i1.11126,NA,top-tier,yes,artificial intelligence,0.9,"The AAAI Conference on Artificial Intelligence is a leading conference in AI. It is known for its rigorous peer review process and significant impact within the research community, helping to establish it as a top-tier venue.",aaai_venues.csv,Proceedings of the AAAI Conference on Artificial Intelligence,Main Track: Search and Constraint Satisfaction,AAAI,NA\
AAAI Conference on Artificial Intelligence,A Case Study of the Shortcut Effects in Visual Commonsense Reasoning,Keren Ye;Adriana Kovashka,"Visual reasoning and question-answering have gathered attention in recent years. Many datasets and evaluation protocols have been proposed; some have been shown to contain bias that allows models to ``cheat without performing true, generalizable reasoning. A well-known bias is dependence on language priors( frequency of answers) resulting in the model not looking at the image. We discover a new type of bias in the Visual Commonsense Reasoning( VCR) dataset. In particular we show that most state-of-the-art models exploit co-occurring text between input( question) and output( answer options) , and rely on only a few pieces of information in the candidate options, to make a decision. Unfortunately, relying on such superficial evidence causes models to be very fragile. To measure fragility, we propose two ways to modify the validation data, in which a few words in the answer choices are modified without significant changes in meaning. We find such insignificant changes cause models performance to degrade significantly. To resolve the issue, we propose a curriculum-based masking approach, as a mechanism to perform more robust training. Our method improves the baseline by requiring it to pay attention to the answers as a whole, and is more effective than prior masking strategies.",2021,https://ojs.aaai.org/index.php/AAAI/article/view/16428,10.1609/aaai.v35i4.16428,9,top-tier,yes,artificial intelligence,0.9,"The AAAI Conference on Artificial Intelligence is a leading conference in AI. It is known for its rigorous peer review process and significant impact within the research community, helping to establish it as a top-tier venue.",aaai_venues.csv,Proceedings of the AAAI Conference on Artificial Intelligence,AAAI Technical Track on Computer Vision III,AAAI,NA\
AAAI Conference on Artificial Intelligence,A Complete Criterion for Value of Information in Soluble Influence Diagrams,Chris van Merwijk;Ryan Carey;Tom Everitt,"Influence diagrams have recently been used to analyse the safety and fairness properties of AI systems. A key building block for this analysis is a graphical criterion for value of information( VoI). This paper establishes the first complete graphical criterion for VoI in influence diagrams with multiple decisions. Along the way, we establish two techniques for proving properties of multi-decision influence diagrams: ID homomorphisms are structure-preserving transformations of influence diagrams, while a Tree of Systems is a collection of paths that captures how information and control can flow in an influence diagram.",2022,https://ojs.aaai.org/index.php/AAAI/article/view/21242,10.1609/aaai.v36i9.21242,8,top-tier,yes,artificial intelligence,0.9,"The AAAI Conference on Artificial Intelligence is a leading conference in AI. It is known for its rigorous peer review process and significant impact within the research community, helping to establish it as a top-tier venue.",aaai_venues.csv,Proceedings of the AAAI Conference on Artificial Intelligence,AAAI Technical Track on Reasoning under Uncertainty,AAAI,NA\
AAAI Conference on Artificial Intelligence,A Data-Driven Approach for Gin Rummy Hand Evaluation,Sang T. Truong;Todd W. Neller,"We develop a data-driven approach for hand strength evaluation in the game of Gin Rummy. Employing Convolutional Neural Networks, Monte Carlo simulation, and Bayesian reasoning, we compute both offensive and defensive scores of a game state. After only one training cycle, the model was able to make sophisticated and human-like decisions with a 55. 4% +/- 0. 8% win rate( 90% confidence level) against a Simple player.",2021,https://ojs.aaai.org/index.php/AAAI/article/view/17843,10.1609/aaai.v35i17.17843,8,top-tier,yes,artificial intelligence,0.9,"The AAAI Conference on Artificial Intelligence is a leading conference in AI. It is known for its rigorous peer review process and significant impact within the research community, helping to establish it as a top-tier venue.",aaai_venues.csv,Proceedings of the AAAI Conference on Artificial Intelligence,EAAI Symposium: Full Papers,AAAI,NA\
AAAI Conference on Artificial Intelligence,A Deep Model With Local Surrogate Loss for General Cost-Sensitive Multi-Label Learning,Cheng-Yu Hsieh;Yi-An Lin;Hsuan-Tien Lin,"Multi-label learning is an important machine learning problem with a wide range of applications. The variety of criteria for satisfying different application needs calls for cost-sensitive algorithms, which can adapt to different criteria easily. Nevertheless, because of the sophisticated nature of the criteria for multi-label learning, cost-sensitive algorithms for general criteria are hard to design, and current cost-sensitive algorithms can at most deal with some special types of criteria. In this work, we propose a novel cost-sensitive multi-label learning model for any general criteria. Our key idea within the model is to iteratively estimate a surrogate loss that approximates the sophisticated criterion of interest near some local neighborhood, and use the estimate to decide a descent direction for optimization. The key idea is then coupled with deep learning to form our proposed model. Experimental results validate that our proposed model is superior to existing cost-sensitive algorithms and existing deep learning models across different criteria.",2018,https://ojs.aaai.org/index.php/AAAI/article/view/11816,10.1609/aaai.v32i1.11816,NA,top-tier,yes,artificial intelligence,0.9,"The AAAI Conference on Artificial Intelligence is a leading conference in AI. It is known for its rigorous peer review process and significant impact within the research community, helping to establish it as a top-tier venue.",aaai_venues.csv,Proceedings of the AAAI Conference on Artificial Intelligence,AAAI Technical Track: Machine Learning,AAAI,NA\
AAAI Conference on Artificial Intelligence,A Deep Reinforcement Learning Framework for Rebalancing Dockless Bike Sharing Systems,Ling Pan;Qingpeng Cai;Zhixuan Fang;Pingzhong Tang;Longbo Huang,"Bike sharing provides an environment-friendly way for traveling and is booming all over the world. Yet, due to the high similarity of user travel patterns, the bike imbalance problem constantly occurs, especially for dockless bike sharing systems, causing significant impact on service quality and company revenue. Thus, it has become a critical task for bike sharing operators to resolve such imbalance efficiently. In this paper, we propose a novel deep reinforcement learning framework for incentivizing users to rebalance such systems. We model the problem as a Markov decision process and take both spatial and temporal features into consideration. We develop a novel deep reinforcement learning algorithm called Hierarchical Reinforcement Pricing( HRP) , which builds upon the Deep Deterministic Policy Gradient algorithm. Different from existing methods that often ignore spatial information and rely heavily on accurate prediction, HRP captures both spatial and temporal dependencies using a divide-and-conquer structure with an embedded localized module. We conduct extensive experiments to evaluate HRP, based on a dataset from Mobike, a major Chinese dockless bike sharing company. Results show that HRP performs close to the 24-timeslot look-ahead optimization, and outperforms state-of-the-art methods in both service level and bike distribution. It also transfers well when applied to unseen areas.",2019,https://ojs.aaai.org/index.php/AAAI/article/view/3940,10.1609/aaai.v33i01.33011393,8,top-tier,yes,artificial intelligence,0.9,"The AAAI Conference on Artificial Intelligence is a leading conference in AI. It is known for its rigorous peer review process and significant impact within the research community, helping to establish it as a top-tier venue.",aaai_venues.csv,Proceedings of the AAAI Conference on Artificial Intelligence,AAAI Technical Track: Computational Sustainability,AAAI,NA\
AAAI Conference on Artificial Intelligence,A Deep Sequential Model for Discourse Parsing on Multi-Party Dialogues,Zhouxing Shi;Minlie Huang,"Discourse structures are beneficial for various NLP tasks such as dialogue understanding, question answering, sentiment analysis, and so on. This paper presents a deep sequential model for parsing discourse dependency structures of multi-party dialogues. The proposed model aims to construct a discourse dependency tree by predicting dependency relations and constructing the discourse structure jointly and alternately. It makes a sequential scan of the Elementary DiscourseUnits( EDUs) 1 in a dialogue. For each EDU, the model decides to which previous EDU the current one should link and what the corresponding relation type is. The predicted link and relation type are then used to build the discourse structure incrementally with a structured encoder. During link prediction and relation classification, the model utilizes not only local information that represents the concerned EDUs, but also global information that encodes the EDU sequence and the discourse structure that is already built at the current step. Experiments show that the proposed model outperforms all the state-of-the-art baselines.",2019,https://ojs.aaai.org/index.php/AAAI/article/view/4680,10.1609/aaai.v33i01.33017007,8,top-tier,yes,artificial intelligence,0.9,"The AAAI Conference on Artificial Intelligence is a leading conference in AI. It is known for its rigorous peer review process and significant impact within the research community, helping to establish it as a top-tier venue.",aaai_venues.csv,Proceedings of the AAAI Conference on Artificial Intelligence,AAAI Technical Track: Natural Language Processing,AAAI,NA\
